threshold,TN,FP,FN,TP,precision,recall,f1,q_t,actions_per_1000,cost,cost_per_object
0.5827140657510197,242,2,213,27,0.9310344827586207,0.1125,0.20074349442379183,0.05991735537190083,59.917355371900825,2132.0,4.404958677685951
0.5927054340792499,242,2,215,25,0.9259259259259259,0.10416666666666667,0.18726591760299627,0.05578512396694215,55.78512396694215,2152.0,4.446280991735537
0.60269680240748,242,2,218,22,0.9166666666666666,0.09166666666666666,0.16666666666666666,0.049586776859504134,49.586776859504134,2182.0,4.508264462809917
0.6126881707357101,242,2,219,21,0.9130434782608695,0.0875,0.1596958174904943,0.047520661157024795,47.5206611570248,2192.0,4.528925619834711
0.6226795390639402,242,2,219,21,0.9130434782608695,0.0875,0.1596958174904943,0.047520661157024795,47.5206611570248,2192.0,4.528925619834711
0.6326709073921705,242,2,221,19,0.9047619047619048,0.07916666666666666,0.14559386973180075,0.04338842975206612,43.388429752066116,2212.0,4.570247933884297
0.6426622757204006,242,2,222,18,0.9,0.075,0.13846153846153847,0.04132231404958678,41.32231404958678,2222.0,4.590909090909091
0.6526536440486307,242,2,224,16,0.8888888888888888,0.06666666666666667,0.12403100775193798,0.0371900826446281,37.1900826446281,2242.0,4.632231404958677
0.6626450123768609,242,2,224,16,0.8888888888888888,0.06666666666666667,0.12403100775193798,0.0371900826446281,37.1900826446281,2242.0,4.632231404958677
0.672636380705091,242,2,227,13,0.8666666666666667,0.05416666666666667,0.10196078431372549,0.030991735537190084,30.991735537190085,2272.0,4.694214876033058
0.6826277490333211,242,2,228,12,0.8571428571428571,0.05,0.09448818897637795,0.028925619834710745,28.925619834710744,2282.0,4.714876033057851
0.6926191173615512,242,2,229,11,0.8461538461538461,0.04583333333333333,0.08695652173913043,0.026859504132231406,26.859504132231407,2292.0,4.735537190082645
0.7026104856897815,242,2,229,11,0.8461538461538461,0.04583333333333333,0.08695652173913043,0.026859504132231406,26.859504132231407,2292.0,4.735537190082645
0.7126018540180116,242,2,232,8,0.8,0.03333333333333333,0.064,0.02066115702479339,20.66115702479339,2322.0,4.797520661157025
0.7225932223462417,243,1,232,8,0.8888888888888888,0.03333333333333333,0.0642570281124498,0.01859504132231405,18.59504132231405,2321.0,4.795454545454546
0.7325845906744719,243,1,233,7,0.875,0.029166666666666667,0.056451612903225805,0.01652892561983471,16.528925619834713,2331.0,4.816115702479339
0.742575959002702,243,1,233,7,0.875,0.029166666666666667,0.056451612903225805,0.01652892561983471,16.528925619834713,2331.0,4.816115702479339
0.7525673273309321,243,1,233,7,0.875,0.029166666666666667,0.056451612903225805,0.01652892561983471,16.528925619834713,2331.0,4.816115702479339
